"primary","celllinename","tissue","gcell_gene__nrpkm_ALK","gcell_gene__nrpkm_APC","gcell_gene__nrpkm_ARID1A","gcell_gene__nrpkm_BCL6","gcell_gene__nrpkm_BRAF","gcell_gene__nrpkm_CBL","gcell_gene__nrpkm_CDKN2A","gcell_gene__nrpkm_CIC","gcell_gene__nrpkm_CSMD3","gcell_gene__nrpkm_CTNNB1","gcell_gene__nrpkm_DAXX","gcell_gene__nrpkm_DNAH5","gcell_gene__nrpkm_DNAJB1","gcell_gene__nrpkm_DNMT3A","gcell_gene__nrpkm_EGFR","gcell_gene__nrpkm_ERBB2","gcell_gene__nrpkm_FBXW7","gcell_gene__nrpkm_GLI1","gcell_gene__nrpkm_IDH1","gcell_gene__nrpkm_KMT2D","gcell_gene__nrpkm_KRAS","gcell_gene__nrpkm_LGALS7","gcell_gene__nrpkm_MET","gcell_gene__nrpkm_MUC16","gcell_gene__nrpkm_NFE2L2","gcell_gene__nrpkm_NOTCH2","gcell_gene__nrpkm_PIK3CA","gcell_gene__nrpkm_PRCC","gcell_gene__nrpkm_PTEN","gcell_gene__nrpkm_RUNX1","gcell_gene__nrpkm_TET2","gcell_gene__nrpkm_TP53","gcell_gene__nrpkm_TP63"
"CL587290","1624-16997 (Tumor B)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL587297","1624-17095 (Tumor B)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL587298","1624-17147 (Tumor A)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL587284","51BLim 10","Colon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL129312","ABC-1","Lung",0.793214903885247,3.08213685099604,16.1079428676343,8.65290785308169,3.80242765218527,5.81620704942138,12.8965112206766,9.04477450405196,0,52.8947104431686,35.1926351677152,0.334628816677746,50.2464301913332,5.1579320782618,75.826033461349,24.1149951801361,5.97809977266594,0.0856596242942711,24.2146487631457,13.6625971011397,8.94103057224834,0,52.835890993013,0.450859517657681,21.7540954154666,13.1549536013786,8.65607580570853,49.3107166834216,11.4644193438744,6.14006559424656,3.89988235321892,44.0029923232861,0.0685685418275879
"CL587299","1624-17147 (Tumor B)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL587291","1624-17091 (Tumor B)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL587289","1624-17095 (Tumor C)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL587293","1624-16997 (Tumor A)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL130497","A549","Lung",0,4.51380170774326,15.5711869515335,1.34796340131982,2.43242742043342,4.46618135572296,0.0209978871396022,13.1350326628481,0.00164398307912913,66.2625838727947,20.7194249106085,0.19788580050665,71.8325767633993,2.21873371262738,34.4154419109335,11.5185739757246,2.14954792410707,4.82755903971073,48.3119487656293,9.63910573641558,8.47920678437993,0,56.7169318091674,0.0282412700321386,21.0190039730605,7.43845079020379,1.50665363150515,32.0481989823052,5.57621103563279,2.85266862888862,1.03275663082999,23.9439734624922,0.38605862507119
"CL587292","1624-16997 (Tumor C)","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
